epoch,step,train/pass_slot_epoch,train/pass_slot_step,train/pass_xy_epoch,train/pass_xy_step,train/shot_prob_epoch,train/shot_prob_step,train/shot_xg_epoch,train/shot_xg_step,train/total_epoch,train/total_step,train/turnover_epoch,train/turnover_step,val/pass_acc,val/pass_slot,val/pass_xy,val/shot_mae,val/shot_prob,val/shot_xg,val/total,val/turnover,val/turnover_acc
0,9,,3.075472116470337,,1.1714026927947998,,0.9107001423835754,,0.23802468180656433,,6.049517631530762,,0.8919426798820496,,,,,,,,,
0,19,,3.2217140197753906,,1.3582406044006348,,0.7267206311225891,,0.20527766644954681,,6.017147541046143,,0.710472047328949,,,,,,,,,
0,29,,2.981982469558716,,0.6806237697601318,,0.6989508867263794,,0.0008387241396121681,,5.057627201080322,,0.6960703730583191,,,,,,,,,
0,39,,3.0672523975372314,,0.6390848755836487,,0.6948798298835754,,0.2946339249610901,,5.094923973083496,,0.6937069892883301,,,,,,,,,
0,49,,3.0430400371551514,,0.27086466550827026,,0.6942682266235352,,0.13596132397651672,,4.70198392868042,,0.6938111186027527,,,,,,,,,
0,59,,3.0821633338928223,,0.296057790517807,,0.6943157315254211,,0.1344183385372162,,4.766484260559082,,0.6939471960067749,,,,,,,,,
0,69,,3.1048367023468018,,0.644007682800293,,0.6935310363769531,,0.09440723061561584,,5.135831356048584,,0.6934562921524048,,,,,,,,,
0,79,,3.1865320205688477,,0.4759625792503357,,0.6932841539382935,,0.03384697437286377,,5.049042701721191,,0.6932641863822937,,,,,,,,,
0,89,,2.837686777114868,,0.5962226986885071,,0.6932579278945923,,0.019449518993496895,,4.820372104644775,,0.6932047009468079,,,,,,,,,
0,99,,2.940258026123047,,0.9034189581871033,,0.6932283639907837,,0.035777654498815536,,5.230143070220947,,0.693237841129303,,,,,,,,,
0,109,,3.093858003616333,,0.9569231271743774,,0.6932394504547119,,0.00263793277554214,,5.4372735023498535,,0.6932529211044312,,,,,,,,,
0,119,,3.1223931312561035,,0.7944385409355164,,0.6932881474494934,,0.0022622847463935614,,5.303321838378906,,0.6932021379470825,,,,,,,,,
0,129,,3.121783494949341,,0.8417519927024841,,0.6932579278945923,,0.0022622847463935614,,5.350011348724365,,0.6932175755500793,,,,,,,,,
0,139,,3.100886344909668,,0.48985984921455383,,0.6932045817375183,,0.024661481380462646,,5.001804351806641,,0.6931918859481812,,,,,,,,,
0,149,,3.0563414096832275,,0.6039658784866333,,0.6931968927383423,,0.0017633113311603665,,5.04668664932251,,0.693182647228241,,,,,,,,,
0,159,,2.807250499725342,,0.8071190118789673,,0.6931796669960022,,0.005884166806936264,,5.000715732574463,,0.6931666135787964,,,,,,,,,
0,169,,3.3070950508117676,,0.9214466214179993,,0.6931541562080383,,0.008190564811229706,,5.623067855834961,,0.693181037902832,,,,,,,,,
0,179,,3.135869026184082,,0.5396722555160522,,0.693204939365387,,0.02713284268975258,,5.061905384063721,,0.6931590437889099,,,,,,,,,
0,189,,3.0368447303771973,,0.5549796223640442,,0.6932148933410645,,0.014423070475459099,,4.978240966796875,,0.6932019591331482,,,,,,,,,
0,199,,3.0636777877807617,,0.5158002972602844,,0.6932136416435242,,0.007828985340893269,,4.965908527374268,,0.6932168006896973,,,,,,,,,
0,209,,3.0937652587890625,,1.0596758127212524,,0.6932272911071777,,0.007506477180868387,,5.539864540100098,,0.6931962966918945,,,,,,,,,
0,219,,3.136918783187866,,0.8752931952476501,,0.6931810975074768,,0.005285236984491348,,5.398565292358398,,0.6931725740432739,,,,,,,,,
0,229,,3.0550599098205566,,0.8043013215065002,,0.6931991577148438,,0.0005686281947419047,,5.24574613571167,,0.6931859254837036,,,,,,,,,
0,239,,3.181680202484131,,1.6123021841049194,,0.6932684779167175,,0.016750888898968697,,6.18044900894165,,0.693198025226593,,,,,,,,,
0,249,,2.996548891067505,,0.5852102637290955,,0.6933273077011108,,0.0009779518004506826,,4.968287944793701,,0.6932016611099243,,,,,,,,,
0,259,,3.262824296951294,,0.5241615772247314,,0.6932680010795593,,0.0009779518004506826,,5.173413276672363,,0.6931594610214233,,,,,,,,,
0,269,,3.1580517292022705,,0.7845408916473389,,0.6932316422462463,,0.0009779518004506826,,5.328981399536133,,0.6931573152542114,,,,,,,,,
0,279,,3.2242116928100586,,0.29658177495002747,,0.6932085156440735,,0.02614840306341648,,4.907182693481445,,0.6931806206703186,,,,,,,,,
0,289,,3.0611605644226074,,0.4332669675350189,,0.693158745765686,,0.01691773161292076,,4.897671222686768,,0.6931672692298889,,,,,,,,,
0,299,,2.690814256668091,,0.3367291986942291,,0.6931626200675964,,0.014151536859571934,,4.42802095413208,,0.6931632161140442,,,,,,,,,
0,309,,3.017695188522339,,0.9927101135253906,,0.693153977394104,,0.00452594505622983,,5.396717071533203,,0.6931577920913696,,,,,,,,,
0,319,,3.044753074645996,,0.48522040247917175,,0.6931538581848145,,0.0004081549996044487,,4.916285514831543,,0.6931580305099487,,,,,,,,,
0,329,,3.003291606903076,,0.7541428804397583,,0.6931665539741516,,0.2047073394060135,,5.143760681152344,,0.6931596994400024,,,,,,,,,
0,339,,3.3404147624969482,,0.6771413087844849,,0.6931647062301636,,0.008229129947721958,,5.403872966766357,,0.6931519508361816,,,,,,,,,
0,349,,3.0643351078033447,,0.6896862387657166,,0.693168044090271,,0.005019546486437321,,5.140347957611084,,0.6931585073471069,,,,,,,,,
0,352,,,,,,,,,,,,,0.04343535378575325,3.142670154571533,0.6288137435913086,0.0854915902018547,0.6931610703468323,0.014755725860595703,4.996082305908203,0.6931578516960144,0.9204216003417969
0,352,3.064069986343384,,0.6500641107559204,,0.703547477722168,,0.06196458265185356,,5.1303791999816895,,0.7018150687217712,,,,,,,,,,
